id;codigoIATA ;nombre;municipio
1;ABC;Aeropuerto de Albacete;2003
2;OVD;Aeropuerto de Asturias;33016
3;LEN;Aeropuerto de Leó;24189
4;OSL;Aeropuerto de Oslo-Gardermoen;00000
